barely | едва
almost | почти
pretty | довольно
extremely | крайне
really | очень
perhaps, probably | возможно
definitely | определенно
bribe | взятка
stable | стабильный
offer | предложение
shape | форма
treat | лакомство
yell | кричать
spectacles | очки
bet | ставка
race | гонка
large | большой
accusation | обвинение
debt | долг
avoid | избегать
merely | просто
obvious | очевидный
spender | транжира
pawn | закладывать
estate | имущество
recently | недавно
fire | увольнять
waste | растрачивать
confuse | запутывать
prohibit | запрещать
earn | зарабатывать
charity | благотворительность
poor | бедный
narrow | узкий
inspire | вдохновлять
encourage | поддерживать
also | тоже
generally | обычно
notice | замечать
significant | значительный
curious | любопытный
chase | гнаться
delay | задерживать
suppose | предполагать
waiter | официант
dare | осмеливаться
everyone | каждый
insurance | страховка
us | нас
them | их
him | его
her | её
it | это
that | тот
these | эти
those | те
there | там
himself | сам
herself | сама
in | в
on | на
at | у
by | к
till | до
before | до
above | над
under | под
between | между
for | в течение
during | во время
while | пока
after | после
was | был
were | был
Hello | привет
can | могу
help | помощь
and | и
this | это
sentence | предложение
